,daily_return,abs_return,iran_posts,escalation_count,deescalation_count,volume_anomaly_z,oscillation_score,fabrication_score,causality_score,composite_score
daily_return,1.0,0.04973900229495675,0.08005770231746553,0.09478978172275117,-0.12700355851270614,0.025508343509443806,0.0027484299977728775,0.02693090085297453,0.3146734937840738,0.1866337362098012
abs_return,0.04973900229495675,1.0,0.11918051126103486,0.09747249216328462,0.10813386709580983,0.7993034379021722,0.0885265160967965,0.18367678813559918,0.7631003299251548,0.5396678745315941
iran_posts,0.08005770231746553,0.11918051126103486,1.0,0.9622318848840804,0.2955085913634417,0.08191902053927873,0.007956822232915706,0.21691962292990208,0.21628300430252156,0.28660826732401085
escalation_count,0.09478978172275117,0.09747249216328462,0.9622318848840804,1.0,0.1515692467355502,0.05793310688458545,-0.02719570901108938,0.23371327274266382,0.19114605078801722,0.2569230640485135
deescalation_count,-0.12700355851270614,0.10813386709580983,0.2955085913634417,0.1515692467355502,1.0,0.10923504239257527,0.22837229101082648,0.050029064824551474,0.1137397738936009,0.234843841157772
volume_anomaly_z,0.025508343509443806,0.7993034379021722,0.08191902053927873,0.05793310688458545,0.10923504239257527,1.0,0.15046945411377008,0.07309206351354401,0.7846101049245527,0.5149983459782771
oscillation_score,0.0027484299977728775,0.0885265160967965,0.007956822232915706,-0.02719570901108938,0.22837229101082648,0.15046945411377008,1.0,-0.05465130050516769,0.22817401399100748,0.4656644063226586
fabrication_score,0.02693090085297453,0.18367678813559918,0.21691962292990208,0.23371327274266382,0.050029064824551474,0.07309206351354401,-0.05465130050516769,1.0,0.10222583806223857,0.5765196589081321
causality_score,0.3146734937840738,0.7631003299251548,0.21628300430252156,0.19114605078801722,0.1137397738936009,0.7846101049245527,0.22817401399100748,0.10222583806223857,1.0,0.7328780187438448
composite_score,0.1866337362098012,0.5396678745315941,0.28660826732401085,0.2569230640485135,0.234843841157772,0.5149983459782771,0.4656644063226586,0.5765196589081321,0.7328780187438448,1.0
